"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1245797440,3,4,3.5,"Euro Pale Lager",3,3,"Tyskie Gronie",5.6,5280
"2",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1221694534,3.5,3.5,3.5,"Euro Pale Lager",3.5,3.5,"Tyskie Gronie",5.6,5280
"3",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1177817871,4.5,2.5,2,"Euro Pale Lager",4,3.5,"Tyskie Gronie",5.6,5280
"4",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1072393037,3,3,3,"Euro Pale Lager",3,2.5,"Tyskie Gronie",5.6,5280
"5",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1070679895,4,3.5,3.5,"Euro Pale Lager",3.5,4,"Tyskie Gronie",5.6,5280
"6",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1319817732,3,3,3.5,"Euro Strong Lager",3.5,3,"Debowe Mocne",7,24254
"7",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1317845150,3.5,3.5,3,"Euro Strong Lager",3.5,3.5,"Debowe Mocne",7,24254
"8",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1300958237,3.5,3,3.5,"Euro Strong Lager",3.5,3.5,"Debowe Mocne",7,24254
"9",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1282825764,4,3,3.5,"Euro Strong Lager",3.5,3.5,"Debowe Mocne",7,24254
"10",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1279123913,4,2,3.5,"Euro Strong Lager",3,3,"Debowe Mocne",7,24254
"11",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1194756399,4,3,3,"Euro Pale Lager",3.5,4,"Tyskie Gronie",5.6,5280
"12",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1276469830,1,3.5,4,"Euro Strong Lager",2.5,2,"Debowe Mocne",7,24254
"13",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1275637521,3.5,3,3.5,"Euro Strong Lager",3.5,3.5,"Debowe Mocne",7,24254
"14",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1273777026,3.5,2.5,3.5,"Euro Strong Lager",3,3,"Debowe Mocne",7,24254
"15",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1264886867,4,2,3,"Euro Strong Lager",3,3.5,"Debowe Mocne",7,24254
"16",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1251064393,2.5,2,2.5,"Euro Strong Lager",2.5,2.5,"Debowe Mocne",7,24254
"17",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1218568538,2,3,2.5,"Euro Strong Lager",2,2,"Debowe Mocne",7,24254
"18",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1171753330,4,3,3.5,"Euro Strong Lager",3.5,4,"Debowe Mocne",7,24254
"19",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1151919248,3.5,3,3.5,"Euro Strong Lager",3.5,4,"Debowe Mocne",7,24254
"20",1941,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)",1146416849,3,3.5,3.5,"Euro Strong Lager",3,3,"Debowe Mocne",7,24254
