"","brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid"
"1",2438,"Browar Namys&#322;ów Sp. z o.o.",1073665582,4,3.5,4,"Euro Strong Lager",4,4,"Rycerskie",7,6872
"2",2438,"Browar Namys&#322;ów Sp. z o.o.",1137038991,2,2,3,"Euro Pale Lager",2,2.5,"Golden Denar (Zloty Denar)",5.5,6100
"3",2438,"Browar Namys&#322;ów Sp. z o.o.",1269820265,3,3,3.5,"Euro Pale Lager",3,3.5,"Zamkowe",7,9516
"4",2438,"Browar Namys&#322;ów Sp. z o.o.",1261518936,3,3.5,4,"Euro Pale Lager",3.5,3,"Zamkowe",7,9516
"5",2438,"Browar Namys&#322;ów Sp. z o.o.",1120971031,4,3,2.5,"Euro Pale Lager",4,4.5,"N Full",6.2,7962
"6",2438,"Browar Namys&#322;ów Sp. z o.o.",1139453788,3,3,4,"Euro Strong Lager",3,3.5,"Rycerskie",7,6872
"7",2438,"Browar Namys&#322;ów Sp. z o.o.",1225754893,3,3,3,"Euro Strong Lager",3,3.5,"Rycerskie",7,6872
"8",2438,"Browar Namys&#322;ów Sp. z o.o.",1172195599,3,3.5,3,"Euro Strong Lager",3,3,"Rycerskie",7,6872
"9",2438,"Browar Namys&#322;ów Sp. z o.o.",1170543220,3.5,2.5,3,"Euro Strong Lager",3,3.5,"Rycerskie",7,6872
"10",2438,"Browar Namys&#322;ów Sp. z o.o.",1166508278,3,3,3,"Euro Strong Lager",3,3,"Rycerskie",7,6872
"11",2438,"Browar Namys&#322;ów Sp. z o.o.",1161553165,3.5,3.5,3.5,"Euro Strong Lager",4,4,"Rycerskie",7,6872
"12",2438,"Browar Namys&#322;ów Sp. z o.o.",1147483023,4,2.5,3,"Euro Strong Lager",3,3.5,"Rycerskie",7,6872
"13",2438,"Browar Namys&#322;ów Sp. z o.o.",1145133743,3.5,3,3,"Euro Strong Lager",3.5,3.5,"Rycerskie",7,6872
"14",2438,"Browar Namys&#322;ów Sp. z o.o.",1136171130,4,3.5,4,"Euro Strong Lager",4,4,"Rycerskie",7,6872
"15",2438,"Browar Namys&#322;ów Sp. z o.o.",1128566354,2.5,2.5,4,"Euro Strong Lager",3,1.5,"Rycerskie",7,6872
"16",2438,"Browar Namys&#322;ów Sp. z o.o.",1123977308,3.5,3.5,3,"Euro Strong Lager",3.5,3.5,"Rycerskie",7,6872
"17",2438,"Browar Namys&#322;ów Sp. z o.o.",1119489150,2,2.5,4,"Euro Strong Lager",3,3,"Rycerskie",7,6872
"18",2438,"Browar Namys&#322;ów Sp. z o.o.",1106617392,3,3,3,"Euro Strong Lager",3,3,"Rycerskie",7,6872
"19",2438,"Browar Namys&#322;ów Sp. z o.o.",1097447655,4,4.5,4,"Euro Strong Lager",3.5,3.5,"Rycerskie",7,6872
"20",2438,"Browar Namys&#322;ów Sp. z o.o.",1084823129,4.5,3.5,4,"Euro Strong Lager",3.5,4,"Rycerskie",7,6872
"21",2438,"Browar Namys&#322;ów Sp. z o.o.",1083541803,3.5,3.5,3.5,"Euro Strong Lager",3,3.5,"Rycerskie",7,6872
"22",2438,"Browar Namys&#322;ów Sp. z o.o.",1078378227,3.5,3.5,3,"Euro Strong Lager",3,3,"Rycerskie",7,6872
"23",2438,"Browar Namys&#322;ów Sp. z o.o.",1075683644,3,2.5,2.5,"Euro Strong Lager",2.5,3,"Rycerskie",7,6872
"24",2438,"Browar Namys&#322;ów Sp. z o.o.",1073918264,4,3.5,4.5,"Euro Strong Lager",4,4,"Rycerskie",7,6872
"25",2438,"Browar Namys&#322;ów Sp. z o.o.",1072574877,3.5,3.5,4,"Euro Strong Lager",3.5,3.5,"Rycerskie",7,6872
"26",2438,"Browar Namys&#322;ów Sp. z o.o.",1063829731,4.5,4,3.5,"Euro Strong Lager",4.5,4.5,"Rycerskie",7,6872
"27",2438,"Browar Namys&#322;ów Sp. z o.o.",1057167814,2.5,3.5,3.5,"Euro Strong Lager",4,2.5,"Rycerskie",7,6872
"28",2438,"Browar Namys&#322;ów Sp. z o.o.",1050689478,3.5,3.5,4,"Euro Strong Lager",3.5,3.5,"Rycerskie",7,6872
"29",2438,"Browar Namys&#322;ów Sp. z o.o.",1041897379,4,4,3,"Euro Strong Lager",3,3,"Rycerskie",7,6872
"30",2438,"Browar Namys&#322;ów Sp. z o.o.",1039243986,3,3,3,"Euro Strong Lager",3,3,"Rycerskie",7,6872
"31",2438,"Browar Namys&#322;ów Sp. z o.o.",1035815032,3,3.5,4,"Euro Strong Lager",3.5,2.5,"Rycerskie",7,6872
"32",2438,"Browar Namys&#322;ów Sp. z o.o.",1143590592,3.5,3.5,3,"Euro Pale Lager",2.5,3,"Golden Denar (Zloty Denar)",5.5,6100
"33",2438,"Browar Namys&#322;ów Sp. z o.o.",1137874823,2.5,3,3.5,"Euro Pale Lager",2,2,"Golden Denar (Zloty Denar)",5.5,6100
"34",2438,"Browar Namys&#322;ów Sp. z o.o.",1126660571,2.5,2.5,3.5,"Euro Pale Lager",3,2.5,"Golden Denar (Zloty Denar)",5.5,6100
"35",2438,"Browar Namys&#322;ów Sp. z o.o.",1114004307,2.5,2,3,"Euro Pale Lager",2.5,2,"Golden Denar (Zloty Denar)",5.5,6100
"36",2438,"Browar Namys&#322;ów Sp. z o.o.",1109721690,3,3,3,"Euro Pale Lager",3,3,"Golden Denar (Zloty Denar)",5.5,6100
"37",2438,"Browar Namys&#322;ów Sp. z o.o.",1076534292,3,3,3,"Euro Pale Lager",3.5,3,"Golden Denar (Zloty Denar)",5.5,6100
"38",2438,"Browar Namys&#322;ów Sp. z o.o.",1061908882,2,2.5,3,"Euro Pale Lager",2.5,2,"Golden Denar (Zloty Denar)",5.5,6100
"39",2438,"Browar Namys&#322;ów Sp. z o.o.",1050867559,3,3,3,"Euro Pale Lager",3,3,"Golden Denar (Zloty Denar)",5.5,6100
"40",2438,"Browar Namys&#322;ów Sp. z o.o.",1043163926,3,3,3,"Euro Pale Lager",2.5,3,"Golden Denar (Zloty Denar)",5.5,6100
"41",2438,"Browar Namys&#322;ów Sp. z o.o.",1032300308,2,2.5,4,"Euro Pale Lager",2,2,"Golden Denar (Zloty Denar)",5.5,6100
"42",2438,"Browar Namys&#322;ów Sp. z o.o.",1283490558,3,3,3,"Euro Pale Lager",3,3,"Zamkowe",7,9516
"43",2438,"Browar Namys&#322;ów Sp. z o.o.",1277606824,4,3,3,"Euro Pale Lager",3,3.5,"Zamkowe",7,9516
"44",2438,"Browar Namys&#322;ów Sp. z o.o.",1254443706,2,1.5,2,"Euro Pale Lager",2.5,2,"Zamkowe",7,9516
"45",2438,"Browar Namys&#322;ów Sp. z o.o.",1250905444,3,2.5,3,"Euro Pale Lager",3,3.5,"Zamkowe",7,9516
"46",2438,"Browar Namys&#322;ów Sp. z o.o.",1224539876,4,3.5,4,"Euro Pale Lager",4,4,"Zamkowe",7,9516
"47",2438,"Browar Namys&#322;ów Sp. z o.o.",1217510991,3.5,3,3,"Euro Pale Lager",3,3.5,"Zamkowe",7,9516
"48",2438,"Browar Namys&#322;ów Sp. z o.o.",1213230456,4,2.5,3,"Euro Pale Lager",3.5,3.5,"Zamkowe",7,9516
"49",2438,"Browar Namys&#322;ów Sp. z o.o.",1187568336,3,3,3.5,"Euro Pale Lager",3,3,"Zamkowe",7,9516
"50",2438,"Browar Namys&#322;ów Sp. z o.o.",1181601244,4,4,4.5,"Euro Pale Lager",4,3.5,"Zamkowe",7,9516
"51",2438,"Browar Namys&#322;ów Sp. z o.o.",1173414615,3.5,3,3.5,"Euro Pale Lager",3.5,3.5,"Zamkowe",7,9516
"52",2438,"Browar Namys&#322;ów Sp. z o.o.",1166054076,3,4,3.5,"Euro Pale Lager",3.5,3,"Zamkowe",7,9516
"53",2438,"Browar Namys&#322;ów Sp. z o.o.",1165882620,2,2.5,3,"Euro Pale Lager",2.5,2,"Zamkowe",7,9516
"54",2438,"Browar Namys&#322;ów Sp. z o.o.",1155431830,3,1.5,2,"Euro Pale Lager",2,2,"Zamkowe",7,9516
"55",2438,"Browar Namys&#322;ów Sp. z o.o.",1151504055,3,3,3.5,"Euro Pale Lager",3,3,"Zamkowe",7,9516
"56",2438,"Browar Namys&#322;ów Sp. z o.o.",1141433942,2.5,2.5,3.5,"Euro Pale Lager",2.5,2.5,"Zamkowe",7,9516
"57",2438,"Browar Namys&#322;ów Sp. z o.o.",1137040376,3,2,3,"Euro Pale Lager",3.5,2.5,"Zamkowe",7,9516
"58",2438,"Browar Namys&#322;ów Sp. z o.o.",1131804126,2.5,2.5,2.5,"Euro Pale Lager",2,2,"Zamkowe",7,9516
"59",2438,"Browar Namys&#322;ów Sp. z o.o.",1118701765,4,3.5,4,"Euro Pale Lager",4,3.5,"Zamkowe",7,9516
"60",2438,"Browar Namys&#322;ów Sp. z o.o.",1110841597,3,3,3,"Euro Pale Lager",2.5,3,"Zamkowe",7,9516
"61",2438,"Browar Namys&#322;ów Sp. z o.o.",1106876210,3,3.5,4,"Euro Pale Lager",3.5,2,"Zamkowe",7,9516
"62",2438,"Browar Namys&#322;ów Sp. z o.o.",1089584421,3,3.5,3.5,"Euro Pale Lager",3,3.5,"Zamkowe",7,9516
"63",2438,"Browar Namys&#322;ów Sp. z o.o.",1050863239,3,3,3.5,"Euro Pale Lager",3,3,"Zamkowe",7,9516
"64",2438,"Browar Namys&#322;ów Sp. z o.o.",1122586387,2,2.5,2.5,"Euro Pale Lager",2,2.5,"N Full",6.2,7962
"65",2438,"Browar Namys&#322;ów Sp. z o.o.",1283574336,3,3,3.5,"Euro Dark Lager",3,3,"Zamkowe Dark",5.5,28895
"66",2438,"Browar Namys&#322;ów Sp. z o.o.",1283552949,2.5,3.5,3.5,"Euro Dark Lager",1,2,"Zamkowe Dark",5.5,28895
"67",2438,"Browar Namys&#322;ów Sp. z o.o.",1279397795,3,4,4.5,"Euro Dark Lager",2.5,2.5,"Zamkowe Dark",5.5,28895
"68",2438,"Browar Namys&#322;ów Sp. z o.o.",1269820455,3,3.5,3.5,"Euro Dark Lager",3.5,3.5,"Zamkowe Dark",5.5,28895
"69",2438,"Browar Namys&#322;ów Sp. z o.o.",1244671390,3,3,3,"Euro Dark Lager",3.5,3,"Zamkowe Dark",5.5,28895
"70",2438,"Browar Namys&#322;ów Sp. z o.o.",1208817108,3.5,3,4.5,"Euro Dark Lager",3,3,"Zamkowe Dark",5.5,28895
"71",2438,"Browar Namys&#322;ów Sp. z o.o.",1203796133,3,3,3.5,"Euro Dark Lager",4,3.5,"Zamkowe Dark",5.5,28895
"72",2438,"Browar Namys&#322;ów Sp. z o.o.",1203673959,3.5,2.5,3.5,"Euro Dark Lager",3,4,"Zamkowe Dark",5.5,28895
"73",2438,"Browar Namys&#322;ów Sp. z o.o.",1200263188,2.5,3,4,"Euro Dark Lager",4,3,"Zamkowe Dark",5.5,28895
"74",2438,"Browar Namys&#322;ów Sp. z o.o.",1199742901,2.5,2.5,4.5,"Euro Dark Lager",2.5,3,"Zamkowe Dark",5.5,28895
"75",2438,"Browar Namys&#322;ów Sp. z o.o.",1192294922,4,3.5,4,"Euro Dark Lager",3.5,3.5,"Zamkowe Dark",5.5,28895
"76",2438,"Browar Namys&#322;ów Sp. z o.o.",1171734280,2.5,3,4,"Euro Dark Lager",3,3,"Zamkowe Dark",5.5,28895
"77",2438,"Browar Namys&#322;ów Sp. z o.o.",1169561537,3.5,3,4.5,"Euro Dark Lager",2.5,3,"Zamkowe Dark",5.5,28895
"78",2438,"Browar Namys&#322;ów Sp. z o.o.",1151151600,3.5,3.5,4,"Euro Dark Lager",4.5,3.5,"Zamkowe Dark",5.5,28895
"79",2438,"Browar Namys&#322;ów Sp. z o.o.",1142035374,3.5,2.5,4.5,"Euro Dark Lager",3,3,"Zamkowe Dark",5.5,28895
"80",2438,"Browar Namys&#322;ów Sp. z o.o.",1163291852,4,3,3.5,"Euro Pale Lager",4,3.5,"N Full",6.2,7962
"81",2438,"Browar Namys&#322;ów Sp. z o.o.",1132273373,3,3.5,3,"Euro Pale Lager",2.5,3,"N Full",6.2,7962
"82",2438,"Browar Namys&#322;ów Sp. z o.o.",1073792721,3.5,2,3.5,"Euro Pale Lager",3.5,3.5,"N Full",6.2,7962
"83",2438,"Browar Namys&#322;ów Sp. z o.o.",1042218271,4,3.5,3.5,"Euro Pale Lager",4,4,"N Full",6.2,7962
"84",2438,"Browar Namys&#322;ów Sp. z o.o.",1132777706,2.5,3,3.5,"Euro Pale Lager",2.5,3,"Ryan",6.2,7963
"85",2438,"Browar Namys&#322;ów Sp. z o.o.",1119000553,3.5,3,4,"Euro Pale Lager",3,3,"Ryan",6.2,7963
"86",2438,"Browar Namys&#322;ów Sp. z o.o.",1110663333,3.5,3.5,3.5,"Euro Pale Lager",3.5,3.5,"Ryan",6.2,7963
"87",2438,"Browar Namys&#322;ów Sp. z o.o.",1078878013,3.5,3,4,"Euro Pale Lager",3.5,3,"Ryan",6.2,7963
"88",2438,"Browar Namys&#322;ów Sp. z o.o.",1042220228,4,3,4,"Euro Pale Lager",3.5,4,"Ryan",6.2,7963
"89",2438,"Browar Namys&#322;ów Sp. z o.o.",1301630590,2.5,2.5,3,"Euro Pale Lager",2.5,2.5,"Zamkowe Jasne",5.5,37919
"90",2438,"Browar Namys&#322;ów Sp. z o.o.",1283319168,2.5,2.5,3.5,"Euro Pale Lager",2,2.5,"Zamkowe Jasne",5.5,37919
"91",2438,"Browar Namys&#322;ów Sp. z o.o.",1282970859,3.5,3.5,3.5,"Euro Pale Lager",3,3,"Zamkowe Jasne",5.5,37919
"92",2438,"Browar Namys&#322;ów Sp. z o.o.",1269820640,3,3,3,"Euro Pale Lager",3,3,"Zamkowe Jasne",5.5,37919
"93",2438,"Browar Namys&#322;ów Sp. z o.o.",1263778766,4,3,4,"Euro Pale Lager",2.5,3,"Zamkowe Jasne",5.5,37919
"94",2438,"Browar Namys&#322;ów Sp. z o.o.",1234237373,3,2.5,3,"Euro Pale Lager",2.5,3,"Zamkowe Jasne",5.5,37919
"95",2438,"Browar Namys&#322;ów Sp. z o.o.",1215992184,4,3,3,"Euro Pale Lager",3.5,3.5,"Zamkowe Jasne",5.5,37919
"96",2438,"Browar Namys&#322;ów Sp. z o.o.",1185490534,4,2.5,4.5,"Euro Pale Lager",4,4,"Zamkowe Jasne",5.5,37919
