"beer_name","beer_id","brewery_name","brewery_id","beer_style","beer_abv","mean_overall","mean_aroma","mean_appearance","mean_palate","mean_taste","n_reviews","beer_tag"
"'Bout Time Barley Wine",9542,"Thirsty Dog Brewing Company",12516,"American Barleywine",NA,3,3.6,3.4,3.9,3.2,5,"Other"
"'t Gaverhopke Den Blond 8° (White Cap)",6610,"Brouwerij 't Gaverhopke",2796,"Belgian Strong Pale Ale",8,2.66666666666667,2.75,3.08333333333333,3.16666666666667,2.83333333333333,6,"Belgian"
"'t Gaverhopke Extra",51942,"Brouwerij 't Gaverhopke",2796,"Belgian Strong Dark Ale",12,3.89583333333333,3.84722222222222,3.77083333333333,4,4.02083333333333,72,"Belgian"
"'t Gaverhopke Zingende Blondine",48572,"Brouwerij 't Gaverhopke",2796,"Belgian Strong Pale Ale",9.8,3.96296296296296,3.75925925925926,3.77777777777778,3.92592592592593,4,27,"Belgian"
"'t Schoenlappertje",22114,"Scheldebrouwerij",552,"Fruit / Vegetable Beer",5,3.5,3.7,3.85,3.5,3.45,10,"Other"
"'t Smisje BBBourgondier",7988,"Brouwerij Smisje",322,"Quadrupel (Quad)",12,3.83510638297872,3.91489361702128,3.78723404255319,3.89893617021277,3.96808510638298,94,"Belgian"
"'t Smisje Blond",26208,"Brouwerij Smisje",322,"Belgian Pale Ale",6,3.03125,3.26041666666667,3.57291666666667,3.26041666666667,3.08333333333333,48,"Belgian"
"'t Smisje Calva Reserva",14418,"Brouwerij Smisje",322,"Belgian Strong Dark Ale",12,3.75824175824176,4.07692307692308,3.68131868131868,3.80769230769231,3.97802197802198,91,"Belgian"
"'t Smisje Dubbel",6587,"Brouwerij Smisje",322,"Dubbel",9,3.76923076923077,3.81538461538462,3.92307692307692,3.77692307692308,3.79230769230769,65,"Belgian"
"'t Smisje Fiori",46570,"Brouwerij Smisje",322,"Belgian Strong Pale Ale",9,2.91666666666667,3.19444444444444,3.58333333333333,3.36111111111111,3,18,"Belgian"
"'t Smisje Grande Reserva",39972,"Brouwerij Smisje",322,"Belgian Strong Dark Ale",11,3.48837209302326,3.76744186046512,3.74418604651163,3.62790697674419,3.76744186046512,43,"Belgian"
"'t Smisje Great Reserva",47025,"Brouwerij Smisje",322,"Belgian Strong Dark Ale",10,3.425,3.5,3.6,3.6,3.775,20,"Belgian"
"'t Smisje Halloween",8913,"Brouwerij Smisje",322,"Pumpkin Ale",10.5,3.4375,3.5625,3.625,3.25,3.5,8,"Other"
"'t Smisje IPA+",42708,"Brouwerij Smisje",322,"Belgian IPA",10,3.77173913043478,4.08695652173913,4.08695652173913,3.93478260869565,3.96739130434783,46,"IPA"
"'t Smisje Kerst",8914,"Brouwerij Smisje",322,"Belgian Strong Dark Ale",11,3.86923076923077,3.95384615384615,4.01538461538462,3.88461538461538,4.01538461538462,65,"Belgian"
"'t Smisje Kuvee Elektrik 979W",45598,"Brouwerij Smisje",322,"Belgian Strong Dark Ale",9,3.5,3.875,4.125,3.8125,3.6875,8,"Belgian"
"'t Smisje Tripel",8974,"Brouwerij Smisje",322,"Tripel",9,3.44444444444444,3.38888888888889,3.05555555555556,3.66666666666667,3.55555555555556,9,"Belgian"
"#'s Ale",39408,"Red Brick Brewing Company",864,"English Bitter",NA,3.89705882352941,3.51470588235294,3.86764705882353,3.72058823529412,3.70588235294118,34,"Other"
"# 100",25489,"Nøgne Ø - Det Kompromissløse Bryggeri A/S",7730,"American Barleywine",10,3.96100917431193,4.01376146788991,4.15366972477064,4.0848623853211,4.09403669724771,218,"Other"
