"brewery_name","brewery_id","beers","beers_id","n_beers","mean_overall","mean_aroma","mean_appearance","mean_palate","mean_taste","n_reviews"
"(512) Brewing Company",17863,"[""(512) IPA"",""(512) Whiskey Barrel Aged Double Pecan Porter"",""(512) TWO"",""(512) Bruin"",""(512) Wit"",""(512) Alt"",""(512) Pecan Porter"",""(512) Three"",""(512) Cascabel Cream Stout"",""(512) ONE"",""Wild Bear"",""(512) Pale"",""(512) Black IPA"",""(512) Brandy Barrel Aged ONE""]","[""43535"",""54905"",""61208"",""53957"",""43536"",""48619"",""45617"",""74074"",""65536"",""51496"",""75401"",""43534"",""67098"",""62879""]",14,4.06578947368421,4.00164473684211,4.05756578947368,3.95888157894737,4.05592105263158,304
"10 Barrel Brewing Co.",16873,"[""S1nist0r Black Ale"",""Northwest Red Ale"",""ISA (India-Style Session Ale)"",""Apocalypse IPA"",""Summer Ale""]","[""45496"",""73944"",""68870"",""53808"",""59712""]",5,3.75757575757576,3.56060606060606,3.81060606060606,3.58333333333333,3.63636363636364,66
"16 Mile Brewing Company",20688,"[""Blues' Golden Ale"",""Amber Sun Ale"",""Harvest Ale"",""Old Court Ale"",""Inlet IPA""]","[""60135"",""51645"",""66225"",""51646"",""68863""]",5,3.57692307692308,3.40659340659341,3.77472527472527,3.62087912087912,3.47802197802198,91
"2 Brothers Brewery",16847,"[""The Chief"",""Growler American Brown Ale"",""Guvnor"",""Voodoo"",""James Brown"",""Taxi Pilsner""]","[""52113"",""44996"",""67511"",""50995"",""63025"",""48900""]",6,3.7375,3.6625,3.6375,3.675,3.675,40
"21st Amendment Brewery",735,"[""Harvest Moon"",""21st Amendment IPA"",""Monk's Blood"",""Hell Or High Watermelon Wheat Beer"",""Bitter American"",""Octoberfest"",""Fireside Chat"",""Batch 300"",""South Park Blonde"",""St. Lupulin"",""North Star Red"",""Maibock"",""Back In Black"",""Allies Win The War!"",""Oyster Point Oyster Stout"",""Summit IPA"",""21st Amendment Pale Ale"",""Double Trouble IPA"",""Amber Waves"",""Hop Crisis"",""Golden Doom"",""Bavarian Hefeweizen"",""Opening Day IPA"",""Warrior IPA"",""Lower Da Boom Barleywine""]","[""45648"",""20781"",""52510"",""4202"",""34791"",""20378"",""62732"",""24084"",""2995"",""63935"",""2677"",""10939"",""46070"",""74904"",""10942"",""31670"",""10943"",""10936"",""60560"",""42063"",""16649"",""40811"",""10941"",""24939"",""10938""]",25,3.70345188284519,3.64278242677824,3.84588563458856,3.64818688981869,3.63267085076709,2868
"23rd Street Brewery",9167,"[""Porter"",""Bitter Professor IPA"",""Pumpkin Ale"",""Wave The Wheat Ale"",""ESB"",""California Common"",""Belgian Wit"",""Good Hope IPA"",""Raspberry Wheat""]","[""46014"",""44313"",""45520"",""45252"",""44398"",""44717"",""44396"",""33640"",""44452""]",9,3.94444444444444,3.35185185185185,3.61111111111111,3.75925925925926,3.53703703703704,27
"3 Ravens Brewing",4778,"[""3 Ravens Blond"",""3 Ravens Rye"",""3 Ravens Bock The Ravenator"",""3 Ravens Dark"",""3 Ravens Bronze"",""3 Ravens Black"",""3 Ravens Über Blond Sticke Altbier"",""3 Ravens White"",""3 Ravens 55""]","[""10229"",""62096"",""61546"",""39819"",""23917"",""10228"",""67506"",""35988"",""41597""]",9,3.50943396226415,3.38679245283019,3.49056603773585,3.47169811320755,3.45754716981132,106
"4 Pines Brewing Company",18111,"[""4 Pines Dry Stout"",""4 Pines Hefeweizen"",""4 Pines ESB"",""4 Pines Pale Ale"",""4 Pines Kolsch""]","[""62998"",""44992"",""49996"",""44993"",""44496""]",5,3.67647058823529,3.55882352941176,3.79411764705882,3.61764705882353,3.56862745098039,51
"4th Street Brewing Co.",9694,"[""80 Shilling"",""Double Red"",""German Pilsner"",""Vienna Lager"",""Wheat IPA"",""Oatmeal Stout"",""Brown Ale"",""Belgian Tripel"",""Doppelbock"",""Weizen Bock""]","[""43664"",""58848"",""51362"",""59316"",""51363"",""19883"",""23898"",""40106"",""51364"",""19884""]",10,3.45454545454545,3.31818181818182,3.40909090909091,3.45454545454545,3.45454545454545,11
"75th Street Brewery",2143,"[""Good Hope IPA"",""Possum Trot Brown Ale"",""Muddy Mo&#8217; Stout"",""Royal Raspberry Wheat"",""Porter's Porter"",""ESB"",""Hefeweizen"",""Red Eye Rye"",""Blueberry Wheat"",""Dark Wheat"",""Golden Ale"",""Dante's Dream"",""Maibock"",""Annona"",""Cow Town Wheat"",""Pumpkin Spice"",""California Common""]","[""5777"",""5774"",""5776"",""5766"",""13878"",""49440"",""5767"",""20653"",""44606"",""9433"",""8547"",""44270"",""23871"",""63569"",""5764"",""20654"",""5775""]",17,3.525,3.4,3.65625,3.475,3.4875,80
"8 Wired Brewing Co.",22618,"[""Rewired Brown Ale"",""The Big Smoke"",""Hopwired IPA"",""Tall Poppy"",""IStout"",""Saison Sauvin"",""The Sultan""]","[""57871"",""63898"",""63896"",""65567"",""63197"",""71278"",""72966""]",7,3.88961038961039,3.97727272727273,3.94155844155844,3.82467532467532,3.91233766233766,154
"À l’abri de la Tempête",11256,"[""Écume"",""Corne De Brume"",""Belle Saison"",""Corps Mort"",""Terre Ferme""]","[""23208"",""29077"",""68872"",""53571"",""51854""]",5,3.7375,3.65,3.775,3.70833333333333,3.6875,120
"A1A Aleworks",3972,"[""Red Brick Ale"",""Oktoberfest Lager"",""Porpoise Point Pale Ale"",""A. Strange Stout"",""IPA"",""Summer Wheat""]","[""16275"",""45104"",""10974"",""10972"",""49202"",""44534""]",6,3.46551724137931,3.27586206896552,3.67241379310345,3.44827586206897,3.36206896551724,29
"Aass Brewery",185,"[""Aass Juleøl"",""Aass Genuine Pilsner"",""Aass Original Lager"",""Aass Bock"",""Aass Bayer (Aass Dark)"",""Aass Classic""]","[""8027"",""594"",""596"",""664"",""3459"",""663""]",6,3.75242718446602,3.57281553398058,3.7621359223301,3.55825242718447,3.72330097087379,103
"Abbaye de Leffe S.A.",470,"[""Leffe Brune / Brown"",""Leffe Tripel"",""Leffe 9"",""Leffe Ruby"",""Leffe Blonde"",""Leffe Radieuse"",""Leffe Vieille Cuvée"",""Leffe De Noël"",""Leffe Bière De Printemps (Springbeer)""]","[""1862"",""1358"",""28802"",""41964"",""2137"",""2138"",""5545"",""39973"",""67593""]",9,3.68618784530387,3.62900552486188,3.83646408839779,3.63950276243094,3.65635359116022,1810
"Abbey Brewing Co.",1765,"[""Brother Aaron's Quadrupel"",""Abbey Russian Imperial Stout"",""Abbey India Pale Ale"",""Abbey Dubbel"",""Abbey Oatmeal Stout""]","[""20772"",""4953"",""4951"",""44676"",""4952""]",5,4,3.77272727272727,3.93939393939394,4.01515151515152,4,33
"Abbey Wright Brewing Co.",14440,"[""Hefe"",""Highlander Scottish Ale"",""Blueberry Wheat"",""Irish Red Ale"",""Alpha Deuce IPA"",""XPA (Extra Pale Ale)""]","[""36708"",""32813"",""32776"",""32359"",""36710"",""41774""]",6,3.5,3.72222222222222,3.44444444444444,3.38888888888889,3.38888888888889,9
