"","brewery_name","brewery_id","beers","beers_id","n_beers","mean_overall","mean_aroma","mean_appearance","mean_palate","mean_taste","n_reviews"
"1","",1193,"[""Engel Tyrolian Bräu WRONG BREWERY SEE SCHWABISCH GMUND"",""Engel Bock Dunkel WRONG BREWERY SEE CRAILSHEIMER"",""Engel Gold WRONG BREWERY SEE CRAILSHEIMER"",""Engel Landbier WRONG BREWERY SEE CRAILSHEIMER"",""Engel Keller Hell WRONG BREWERY SEE CRAILSHEIMER"",""Engel Aloisius - WRONG BREWERY SEE CRAILSHEIMER"",""Engel Keller Dunkel  WRONG BREWERY SEE CRAILSHEIMER"",""Hard Hat American Beer"",""Side Pocket"",""Breakaway IPA"",""Caboose Oatmeal Stout""]","[""67503"",""63658"",""63215"",""63557"",""63256"",""63459"",""63324"",""60"",""3394"",""75135"",""75137""]",11,3.43333333333333,3.5,3.26666666666667,3.36666666666667,3.36666666666667,15
"2","'t Hofbrouwerijke",13160,"[""Bosprotter"",""Hofblues"",""Blondelle"",""Hoftrol"",""Hofdraak"",""Hofnar"",""Hof Korvatunturi""]","[""28810"",""33506"",""69815"",""28825"",""33518"",""49512"",""64095""]",7,3.7027027027027,3.78378378378378,3.85135135135135,3.54054054054054,3.62162162162162,37
"3","(512) Brewing Company",17863,"[""(512) IPA"",""(512) Whiskey Barrel Aged Double Pecan Porter"",""(512) TWO"",""(512) Bruin"",""(512) Wit"",""(512) Alt"",""(512) Pecan Porter"",""(512) Three"",""(512) Cascabel Cream Stout"",""(512) ONE"",""Wild Bear"",""(512) Pale"",""(512) Black IPA"",""(512) Brandy Barrel Aged ONE""]","[""43535"",""54905"",""61208"",""53957"",""43536"",""48619"",""45617"",""74074"",""65536"",""51496"",""75401"",""43534"",""67098"",""62879""]",14,4.06578947368421,4.00164473684211,4.05756578947368,3.95888157894737,4.05592105263158,304
"4","10 Barrel Brewing Co.",16873,"[""Oregon Brown Ale"",""Bourbon Bitter"",""S1nist0r Black Ale"",""10 Barrel IPA"",""10 Barrel Light"",""Code 24 Pale Ale"",""Precursor"",""Zitrone Kolsch"",""Big Black Stout"",""Northwest Red Ale"",""Ping-Pong Pumpkin Ale"",""Pray For Snow"",""ISA (India-Style Session Ale)"",""Apocalypse IPA"",""Mango Sasquatch"",""D I D Belgian Strong Ale"",""Summer Ale""]","[""73903"",""70097"",""45496"",""45498"",""45495"",""45497"",""76436"",""71480"",""73906"",""73944"",""76017"",""64765"",""68870"",""53808"",""71842"",""73946"",""59712""]",17,3.73214285714286,3.57142857142857,3.81547619047619,3.61904761904762,3.63690476190476,84
"5","1516 Brewing Company",4473,"[""Amarillo Pale Ale"",""NZ Victory Hop Devil IPA"",""1516 Lager"",""100% Pure Dark Lager"",""Irish Red"",""Yankee Sticke"",""St. Clemence Lager"",""Eejit's Foreign Extra Stout V.10"",""OatZ"",""Aconcagua"",""Eejit's Amarillo Red Ale"",""Na Daichead Cnamh 40 Foot Ale"",""1516 Pilsner"",""Quinoa Weisse"",""Pfaffenberger Weizen"",""Brombeer (Blackberry)"",""Nottingham Spit"",""Pacific Pearl - The All Black's Stout""]","[""12683"",""35079"",""33217"",""37467"",""48686"",""39728"",""47337"",""58134"",""35076"",""12605"",""35077"",""46950"",""37448"",""48655"",""35078"",""58136"",""35075"",""33218""]",18,4.13235294117647,3.91176470588235,4.19117647058824,3.89705882352941,4.07352941176471,34
"6","16 Mile Brewing Company",20688,"[""Blues' Golden Ale"",""Amber Sun Ale"",""Responders Ale"",""Harvest Ale"",""Old Court Ale"",""Inlet IPA""]","[""60135"",""51645"",""68312"",""66225"",""51646"",""68863""]",6,3.57065217391304,3.40217391304348,3.76630434782609,3.61413043478261,3.47282608695652,92
"7","1st City Brewery and Grill",4437,"[""Monases Molasses"",""Golden Spike Ale"",""1st City Wheat"",""Orient Express IPA"",""Oatmeal Stout"",""Munich Malt"",""Hobo's Ginger Spiced Porter"",""Cannonball Red"",""Cherry Ale"",""1st City Coal Train Porter""]","[""20871"",""13810"",""9602"",""13809"",""17930"",""24881"",""19929"",""13807"",""13808"",""9601""]",10,3.66666666666667,3.5,4.03333333333333,3.63333333333333,3.63333333333333,15
"8","2 Brothers Brewery",16847,"[""The Chief"",""Growler American Brown Ale"",""Guvnor"",""Grizz"",""Voodoo"",""Trickster Witbier"",""James Brown"",""Taxi Pilsner"",""Rusty Pale Ale""]","[""52113"",""44996"",""67511"",""67637"",""50995"",""44994"",""63025"",""48900"",""44995""]",9,3.68627450980392,3.61764705882353,3.62745098039216,3.61764705882353,3.6078431372549,51
"9","21st Amendment Brewery",735,"[""Hop Caen"",""21 Rock"",""Harvest Moon"",""21st Amendment IPA"",""Monk's Blood"",""Hell Or High Watermelon Wheat Beer"",""Bitter American"",""Ugly Sweater IPA"",""Lost Sailor Imperial Pilsner"",""Octoberfest"",""Beer School"",""Blind Lust"",""Mo'tcho Risin'"",""Shot Tower Stout"",""Rathskeller Alt"",""Fireside Chat"",""Leuven Life Pale Ale"",""Batch 300"",""USB 5.0"",""Holiday Spiced Ale"",""Spring Tweet"",""Wit Cin'd"",""Antiquated IPA"",""Leicht Weiss"",""Friday IPA"",""Tenure"",""Eurail IPA"",""Drunken Monk Ale"",""Beerly Legal Lager"",""South Park Blonde"",""Hendrik's Russian Imperial Stout"",""Gigantes"",""Anchorage Vacation"",""Diesel Imperial Smoked Porter"",""St. Lupulin"",""North Star Red"",""O'Sullivan's Irish Ale"",""MMXA"",""Maibock"",""Back In Black"",""Allies Win The War!"",""Old Glory"",""Baby Horse"",""Oaked Baby Horse"",""TBN - Blonde Bock"",""Potrero ESB"",""Oyster Point Oyster Stout"",""Summit IPA"",""U.S.  I.P.A."",""Two Lane Blacktop Imperial Black"",""Pippo's Porter"",""563 Stout"",""21st Amendment Pale Ale"",""Heat Wave IPA"",""Double Trouble IPA"",""Amber Waves"",""Phoenix IPA"",""Hop Crisis"",""Golden Doom"",""General Pippo's Porter"",""Papa Park's Porter"",""Bavarian Hefeweizen"",""Amendment Pale Ale"",""5-South"",""Frico Neccia"",""Opening Day IPA"",""Roasted American"",""The Conventioneer"",""Via"",""St. Patrick O'Sullivan's Irish Red"",""Warrior IPA"",""Over Hopulation"",""Noir De Blanc"",""Spill It Milk Stout"",""Hqt"",""Ripple Imperial Chocolate Porter"",""Repeal Rye"",""Lower Da Boom Barleywine"",""21st Amendment Imperial Stout"",""King George IPA"",""Little Horse"",""Rammstein"",""Wit And Wisdom""]","[""4205"",""66190"",""45648"",""20781"",""52510"",""4202"",""34791"",""64774"",""48031"",""20378"",""56365"",""56056"",""59897"",""2419"",""72443"",""62732"",""59896"",""24084"",""71492"",""10937"",""68417"",""60559"",""52683"",""57550"",""55153"",""61774"",""60562"",""63572"",""55218"",""2995"",""60563"",""58100"",""48746"",""35836"",""63935"",""2677"",""2997"",""58752"",""10939"",""46070"",""74904"",""72440"",""54516"",""72433"",""31379"",""10944"",""10942"",""31670"",""2996"",""55969"",""2998"",""4206"",""10943"",""43004"",""10936"",""60560"",""31669"",""42063"",""16649"",""28827"",""63564"",""40811"",""4204"",""56656"",""43009"",""10941"",""68416"",""60558"",""63563"",""56777"",""24939"",""72441"",""54515"",""73603"",""72020"",""72445"",""72444"",""10938"",""14728"",""60561"",""56178"",""58099"",""43005""]",83,3.69929482874412,3.63952316991269,3.84586971121558,3.64909335124244,3.63146406984553,2978
"10","23rd Street Brewery",9167,"[""Big Leaf Porter"",""Oatmeal Brown"",""Porter"",""Sunflower Blonde"",""Brewers Blend"",""Barrel-Aged Russian Imperial Stout"",""Bitter Professor IPA"",""Pumpkin Ale"",""Wave The Wheat Ale"",""ESB"",""Hawktoberfest"",""Knock Out Imperial Stout"",""Morning Dew Pale Ale"",""California Common"",""Belgian Wit"",""Good Hope IPA"",""Raspberry Wheat"",""Crimson Phog"",""Bartertown Brown"",""Double Crimson Phog""]","[""53969"",""57984"",""46014"",""44983"",""46443"",""74465"",""44313"",""45520"",""45252"",""44398"",""45251"",""50160"",""46294"",""44717"",""44396"",""33640"",""44452"",""44514"",""44314"",""58729""]",20,3.8953488372093,3.47674418604651,3.69767441860465,3.75581395348837,3.6046511627907,43
